0.000000000000000000e+00 0.000000000000000000e+00
5.999999800000000274e-05 3.638822896181842601e-03
5.600000149999999994e-04 1.110000406117779385e-02
1.560000003999999956e-03 1.847050041954974645e-02
3.049999940999999996e-03 2.571042784777839707e-02
5.040000192999999871e-03 3.285180117740216232e-02
7.519999985000000269e-03 3.982817988442709234e-02
1.049000024800000007e-02 4.661848417575198411e-02
1.394999958599999965e-02 5.319800485885860242e-02
1.789999939500000123e-02 5.954139426292602566e-02
2.232000045499999905e-02 6.559847909659832776e-02
2.723000012299999981e-02 7.137809724046258186e-02
3.260000050100000241e-02 7.682826186982899541e-02
3.844000026600000175e-02 8.194729218460437836e-02
4.473999887700000344e-02 8.671428618300343338e-02
5.149000137999999727e-02 9.111338486996582720e-02
5.869000032499999825e-02 9.513820350828000594e-02
6.633000075799999617e-02 9.877867659026905167e-02
7.440000027399999716e-02 1.020286616848151001e-01
8.290000259900000279e-02 1.048885973531942795e-01
9.181000292299999754e-02 1.073548546225929212e-01
1.011300012470000009e-01 1.094330389703268014e-01
1.108499988910000011e-01 1.111279982291247109e-01
1.209499984980000054e-01 1.124461121005326525e-01
1.314399987459999863e-01 1.133997978386272615e-01
1.422899961469999974e-01 1.139990875363734862e-01
1.534900069239999998e-01 1.142586734080997535e-01
1.650400012730000032e-01 1.141944640504042596e-01
1.769299954180000023e-01 1.138230212604532526e-01
1.891400068999999906e-01 1.131626928523735975e-01
2.016600072380000108e-01 1.122326662061280123e-01
2.144699990750000007e-01 1.110536806253823588e-01
2.275699973109999996e-01 1.096451159063824149e-01
2.409400045869999896e-01 1.080284421745899281e-01
2.545700073239999806e-01 1.062241731917129839e-01
2.684499919409999991e-01 1.042525447403497563e-01
2.825500071050000006e-01 1.021364308688736677e-01
2.968699932100000161e-01 9.989384675912643674e-02
3.113999962810000133e-01 9.754341123794948998e-02
3.261100053789999786e-01 9.510624266136094573e-02
3.409900069239999998e-01 9.259931027093934452e-02
3.560400009160000212e-01 9.003674275512024705e-02
3.712300062180000082e-01 8.743661620821095715e-02
3.865399956700000250e-01 8.481412875404556462e-02
4.019699990749999730e-01 8.217976915183955455e-02
4.174999892710000160e-01 7.954617898598938253e-02
4.331099987029999876e-01 7.692467311655019901e-02
4.487800002099999741e-01 7.432524419891285705e-02
4.645099937919999755e-01 7.175331223271731729e-02
4.802699983120000127e-01 6.921800502606940964e-02
4.960500001909999845e-01 6.672398365805362608e-02
5.118399858469999675e-01 6.427485306574413915e-02
5.276100039479999504e-01 6.187624407079231337e-02
5.433599948880000197e-01 5.952824170438025114e-02
5.590599775310000075e-01 5.723457202723977733e-02
5.747100114819999606e-01 5.499375699645200205e-02
5.902799963949999507e-01 5.280800803114501368e-02
6.057599782939999677e-01 5.067604992614219844e-02
6.211299896240000118e-01 4.859752851865697942e-02
